P(=O)(O)(O)OP(=O)(O)O.O([H])[H]	R00004	P(=O)(O)(O)O
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O.C1(O)C=CC(O)=CC=1	R05769	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.[C@H]1(OC2C=CC(O)=CC=2)[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O
N(C=O)C1CCCCC1	R05771	O([H])[H].[N+](#[C-])C1CCCCC1
O([H])[H].C(=C/C1C=CC(O)=C(OC)C=1)\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O	R05772	C(C(O)C1=CC=C(O)C(OC)=C1)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
C(C(O)C1=CC=C(O)C(OC)=C1)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O	R05773	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O.C1(OC)=C(O)C=CC(C=O)=C1
OC(=O)C(=O)CS(=O)(O)=O	R05774	C(=O)=O.C(C=O)S(=O)(=O)O
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O.S(=O)(O)O	R05775	O([H])[H].S(C[C@@H]1[C@H]([C@H](O)[C@@H](O)[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@@H](O)[C@@H](O1)N1C=CC(=O)NC1=O)O)(=O)(=O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.C1[C@@H]([C@@H](C)[C@]2([H])CC=C3C4CC[C@]([H])([C@H](C)CCC(=C)C(C)C)[C@@]4(C)CC[C@]3([H])[C@@]2(C)C1)O	R05776	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.C1[C@@H]([C@H]([C@@]2([H])[C@](C)(C1)[C@@]1([H])CC[C@]3(C)[C@@]([H])([C@H](C)CC/C(=C/C)/C(C)C)CC[C@@]3([H])C1=CC2)C)O
O=O.C(=O)(CC1C=CC(O)=CC=1)C(=O)O	R05778	C(=O)=O.C1=C(C=CC(=C1)C(O)C(=O)O)O
O([H])[H].OP(O[C@H]1[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]([C@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O)OP(OP(O)(O)=O)(O)=O)(=O)O	R05779	P(=O)(O)(O)O.OP(O[C@@H]1[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]([C@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O)OP(O)(O)=O)(=O)O
O([H])[H].C(S)#N	R05780	N([H])([H])[H].C(=S)=O.[OH-]
O([H])[H].C1(=O)C=CC(=O)N1	R05781	C(=O)(N)/C=C\C(=O)O
O([H])[H].C1(=CC=CC=C1)[C@@H](O)C(=O)N	R05783	N([H])([H])[H].C1(C=CC=CC=1)[C@@H](O)C(=O)O
O([H])[H].C12(C)CC[C@@H](C(C)=C)CC1O2	R05784	[C@]1(O)(C)CC[C@@H](C(C)=C)C[C@@H]1O
O([H])[H].OC(=O)[C@H](CS(O)(=O)=O)OP(O)(O)=O	R05789	P(=O)(O)(O)O.OC(=O)[C@H](CS(O)(=O)=O)O
O([H])[H].[C@H]1(OC(COP(O)(=O)O)C(O)=O)O[C@H](CO)[C@H]([C@H](O)[C@@H]1O)O	R05790	P(=O)(O)(O)O.[C@H]1(O[C@H](CO)C(O)=O)O[C@H](CO)[C@H]([C@H](O)[C@@H]1O)O
O([H])[H].[C@@H]1(O[C@H](CO)COP(O)(=O)O)[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O	R05791	P(=O)(O)(O)O.[C@@H]1(OC(CO)CO)[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.OP(O[C@@H]1[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]([C@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O)OP(O)(O)=O)(=O)O	R05799	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.O(P(O)(=O)O)P(=O)(O)O[C@H]1[C@H](OP(O)(=O)O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](OP(=O)(O)O)[C@H]1OP(O)(=O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.P(=O)(O)(O)O[C@@H]1[C@@H](O)[C@@H]([C@H](O)[C@H](O)[C@H]1OP(=O)(O)O)OP(=O)(O)O	R05800	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.P(O)(O[C@H]1[C@@H]([C@H](O)[C@H](O)[C@@H](OP(=O)(O)O)[C@@H]1OP(O)(O)=O)OP(O)(=O)O)(=O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.P(O)(O[C@H]1[C@@H]([C@H](O)[C@H](O)[C@@H](OP(=O)(O)O)[C@@H]1OP(O)(O)=O)OP(O)(=O)O)(=O)O	R05801	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@H]1(OP(O)(=O)O)[C@H](OP(O)(=O)O)[C@@H](OP(O)(=O)O)[C@H](OP(O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|	R05804	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.P(=O)(O)(O)OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:6,9,11,13,w:8|
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@@H]1(COP(=O)(O)O)[C@@H](O)[C@@H](C(O)(CO)O1)O |a:0,7,9,w:10|	R05805	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.[C@@H]1(O)[C@@H](COP(O)(O)=O)OC(O)(COP(O)(O)=O)[C@H]1O
C12=NC([C@@](C)(CC(=O)O)[C@@H]1CCC(=O)O)=CC1NC(=C(CCC(=O)O)C=1CC(=O)O)C=C1C(CCC(=O)O)=C(CC(=O)O)C(=N1)C=C1[C@@H](CCC(=O)O)[C@](C)(CC(=O)O)C(N1)=C2 |c:15,t:32,48,64|.[Co+2]	R05807	[H+].C12=NC([C@@](C)(CC(=O)O)[C@@H]1CCC(=O)O)=CC1N3[Co]N4C([C@@H](CCC(=O)O)[C@](C)(CC(=O)O)C4=C2)=CC2=NC(C(CCC(=O)O)=C2CC(=O)O)=CC3=C(CCC(=O)O)C=1CC(=O)O |c:15,35,37,53|
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.C12=NC([C@@](C)(CC(=O)O)[C@@H]1CCC(=O)O)=CC1N3[Co]N4C([C@@H](CCC(=O)O)[C@](C)(CC(=O)O)C4=C2)=CC2=NC(C(CCC(=O)O)=C2CC(=O)O)=CC3=C(CCC(=O)O)C=1CC(=O)O |c:15,35,37,53|	R05808	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.C12=NC([C@@](C)(CC(=O)O)[C@@H]1CCC(=O)O)=C(C)C1N3[Co]N4C([C@@H](CCC(=O)O)[C@](C)(CC(=O)O)C4=C2)=CC2=NC(C(CCC(=O)O)=C2CC(=O)O)=CC3=C(CCC(=O)O)C=1CC(=O)O |c:36,38,54,t:15|
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.C12[C@@H](CCC(=O)O)[C@](C3=C(C)C4NC(=C(CCC(=O)O)C=4CC(=O)O)CC4=C(CCC(=O)O)C(CC(=O)O)=C(N4[Co]N13)C=C1[C@@H](CCC(=O)O)[C@](C)(CC(=O)O)C(=N1)C=2)(C)CC(=O)O |c:8,t:46,63|	R05809	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.C12N3[Co]N4C(=C(CCC(=O)O)C(CC(=O)O)=C4C=C4[C@@H](CCC(=O)O)[C@](C)(CC(=O)O)C(=N4)C=1)CC1[C@](C)(CCC(=O)O)C(CC(=O)O)=C(N=1)C13C(C)OC(=O)C[C@@]1(C)[C@@H]2CCC(=O)O |c:35,t:18|
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.C12N3[Co]N4C(=C(CCC(=O)O)C(CC(=O)O)=C4C=C4[C@@H](CCC(=O)O)[C@](C)(CC(=O)O)C(=N4)C=1)CC1[C@](C)(CCC(=O)O)C(CC(=O)O)=C(N=1)C13C(C)OC(=O)C[C@@]1(C)[C@@H]2CCC(=O)O |c:35,t:18|	R05810	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.C12N3[Co]N4C(C(CCC(=O)O)=C(CC(=O)O)[C@]4(C)CC4=C(CCC(=O)O)[C@](C)(CC(=O)O)C(=N4)C=1)=CC1[C@](C)(CCC(=O)O)C(CC(=O)O)=C(N=1)C13C(C)OC(=O)C[C@@]1(C)[C@@H]2CCC(=O)O |c:36,37|
[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C12N([Co+])[C@](C)([C@@]([C@@H]1CCC(=O)O)(C)CC(=O)O)C1N=C([C@](C)(CCC(=O)O)C=1CC(=O)O)CC1C(CCC(=O)O)=C(CC(=O)O)[C@@](C)(N=1)CC1=C(CCC(=O)O)[C@](C)(CC(=O)O)C(=N1)C=2 |c:68|	R05812	[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C12N([Co+])[C@](C)([C@@]([C@@H]1CCC(=O)O)(C)CC(=O)O)[C@]1([H])N=C([C@](C)(CCC(=O)O)[C@H]1CC(=O)O)CC1C(CCC(=O)O)=C(CC(=O)O)[C@@](C)(N=1)CC1=C(CCC(=O)O)[C@](C)(CC(=O)O)C(=N1)C=2 |c:69|
C12N([Co+])[C@](C)([C@@]([C@@H]1CCC(=O)O)(C)CC(=O)O)[C@]1([H])N=C([C@](C)(CCC(=O)O)[C@H]1CC(=O)O)C(C)C1C(CCC(=O)O)=C(C)[C@@](C)(N=1)CC1=C(CCC(=O)O)[C@](C)(CC(=O)O)C(C=2C)=N1 |c:65|	R05814	C12N([C@](C)([C@@]([C@@H]1CCC(=O)O)(C)CC(=O)O)[C@]1([H])N=C([C@](C)(CCC(=O)O)[C@H]1CC(=O)O)C(C)=C1[C@@H](CCC(=O)O)C(C)(C)C(=N1)C=C1[C@@H](CCC(=O)O)[C@](C)(CC(=O)O)C(C=2C)=N1)[Co+] |c:64,t:35,49|
O=O.N1(C=NC2C(=O)NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](CO)O1)O	R05821	O([H])[H].N1(C=NC2C(=O)NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C(=O)O)O1)O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)C(=O)O	R05823	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@H](O)(C(=O)C(=O)O)[C@H](O)C(=O)CO
O([H])[H].C1=CC2C3C[C@H]4C(C(=O)OC)(C=O)[C@@H]5/C(=C\C)/CN4[C@@]([H])(C5)C=3NC=2C=C1	R05825	C(=O)=O.CO.C1=CC2C3C[C@H]4[C@@H](C=O)[C@@H]5/C(=C\C)/CN4[C@@]([H])(C5)C=3NC=2C=C1
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1=CC2C3C[C@H]4C(CO)([H])[C@@H]5/C(=C\C)/CN4[C@@]([H])(C5)C=3NC=2C=C1	R05827	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1=CC2C3C[C@H]4[C@@](C=O)([H])[C@@H]5/C(=C\C)/CN4[C@@]([H])(C5)C=3NC=2C=C1
S1SC[C@H](O)[C@@H](O)C1.C12C=CC=CC=1C(=O)C(C(O)(C)C2=O)C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C	R05830	C12(C/C=C(\C)/CCCC(C)CCCC(C)CCCC(C)C)C(=O)C3C(=CC=CC=3)C(=O)C1(O2)C.[C@H](O)(CS)[C@@H](O)CS
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.OC[C@H](O)[C@@H](O)[C@H](O)CO	R05831	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C1(O)(CO)OC[C@H](O)[C@H]1O |w:0,a:6,8|
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.[C@@]1([H])(C=C)[C@@H](OC=C(C(=O)O)[C@@]1([H])CC=O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O	R05834	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.[C@@]1([H])(C=C)[C@@H](OC=C(C(=O)OC)[C@@]1([H])CC=O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O
O([H])[H].[C@@]12([H])[C@H](O)C[C@]3([H])C[C@@H](CC[C@]3(C)[C@@]1([H])C[C@H](O)[C@]1(C)[C@]([H])(CC[C@@]21[H])[C@H](C)CCC(=O)NCC(=O)O)O	R05835	C(=O)(O)CN.[C@@]12([H])[C@H](O)C[C@]3([H])C[C@@H](CC[C@]3(C)[C@@]1([H])C[C@H](O)[C@]1(C)[C@]([H])(CC[C@@]21[H])[C@H](C)CCC(=O)O)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.P(=O)(O)(O)OC[C@@H](O)[C@H](N)C(=O)O	R05837	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C(=O)=O.P(=O)(O)(O)OCC(=O)CN
C([C@H]([C@H](O)COP(O)(=O)O)O)(C)=O.P(=O)(O)(O)OCC(=O)CN	R05838	O([H])[H].P(=O)(O)(O)O.C1(COP(=O)(O)O)=CN=C(C)C(O)=C1CO
C(=O)(C(=O)O)CCC(O)=O.C1(CN)C(O)=C(N=CC=1CO)C	R05839	C1(C=O)C(O)=C(N=CC=1CO)C.[C@H](N)(C(=O)O)CCC(=O)O
C(=O)(O)CN.C(C1C=CC=CC=1)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O	R05841	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.C1C=C(CC(=O)NCC(=O)O)C=CC=1
O([H])[H].C1OC1	R05842	C(O)CO
[H+].O=O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C1=CC2=C(C3C=CC=CC1=3)C=CC=C2	R05843	[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C1=CC2C=C[C@H](O)[C@@H](C=2C2C=CC=CC1=2)O
[C@@H](O)(C(=O)CO)[C@@H](O)COP(=O)(O)O	R05850	[C@@H](O)(C(=O)CO)[C@H](O)COP(=O)(O)O
O=O.C(=O)(C(=O)O)CCC(O)=O.[C@]123CCN4CC=C[C@@](CC)(C[C@](O)(C(=O)OC)[C@]1([H])N(C1C=C(C=CC2=1)OC)C)[C@@]34[H]	R05857	C(=O)=O.OC(=O)CCC(=O)O.[C@]123CCN4CC=C[C@@](CC)([C@H]([C@](O)(C(=O)OC)[C@]1([H])N(C1C=C(C=CC2=1)OC)C)O)[C@@]34[H]
O([H])[H].O=O.OC(=O)[C@H](N)C	R05861	OO.N([H])([H])[H].CC(=O)C(=O)O
O([H])[H].O=O.C(NC)C(O)=O	R05862	OO.C(=O)(O)C=O.CN
O([H])[H].O=O.CCNCC(=O)O	R05863	OO.C(=O)(O)C=O.C(N)C
O([H])[H].C(/C)=C/C=C(/O)\C(=O)O	R05864	C(C(O)CC)C(=O)C(=O)O
O([H])[H].C(=C(/O)\C(=O)O)\C=C(\C)/C=O	R05865	C([H])(=O)O.C(/C)=C/C=C(/O)\C(=O)O
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O.C1=CC2C3C[C@H]4[C@@H](C=O)[C@@H]5/C(=C\C)/CN4[C@@]([H])(C5)C=3NC=2C=C1	R05876	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.C1=CC2[C@]34[C@H](OC(C)=O)C5([H])[C@@H]6/C(=C\C)/CN([C@H]5C3)[C@@]([H])(C6)C4=NC=2C=C1
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1=CC2[C@]34[C@H](OC(C)=O)C5([H])[C@@H]6/C(=C\C)/[C@@H](O)N([C@H]5C3)[C@@]([H])(C6)[C@]4([H])NC=2C=C1	R05878	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1=CC2[C@]34[C@H](OC(C)=O)C5([H])[C@@H]6/C(=C\C)/[C@@H](O)N([C@H]5C3)[C@@]([H])(C6)C4=NC=2C=C1
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1=CC2[C@]34[C@H](OC(C)=O)C5([H])[C@@H]6[C@H](CC)[C@@H](O)N([C@H]5C3)[C@@]([H])(C6)[C@]4([H])NC=2C=C1	R05879	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1=CC2[C@]34[C@H](OC(C)=O)C5([H])[C@@H]6/C(=C\C)/[C@@H](O)N([C@H]5C3)[C@@]([H])(C6)[C@]4([H])NC=2C=C1
O([H])[H].C1=CC2[C@]34[C@H](OC(C)=O)C5([H])[C@@H]6[C@H](CC)[C@@H](O)N([C@H]5C3)[C@@]([H])(C6)[C@]4([H])NC=2C=C1	R05880	C(=O)(O)C.C1C=C2[C@]34[C@H](O)C5[C@]([H])(C3)N3[C@H](O)[C@@H](CC)[C@@H]5C[C@@]3([H])[C@]4([H])NC2=CC=1
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O.C1=CC2[C@]34[C@H](OC(C)=O)C5([H])[C@@H]6/C(=C\C)/[C@@H](O)N([C@H]5C3)[C@@]([H])(C6)C4=NC=2C=C1	R05882	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.C1=CC2[C@]34[C@H](OC(C)=O)C5([H])[C@@H]6/C(=C\C)/[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O7)N([C@H]5C3)[C@@]([H])(C6)C4=NC=2C=C1
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.[C@@]123C4C=CC(O)=CC=4NC1=C(C(=O)OC)C[C@]1(CC)C=CCN(CC2)[C@@]13[H]	R05885	[H+].[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.[C@]123CCN4CC=C[C@@](CC)(CC(C(=O)OC)=C1NC1C=C(OC)C=CC=12)[C@]43[H]
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O.C(C/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@@H](CO)O1)/C)/C)/C)/C)/C)/C)/C)/C)/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C	R06047	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.C(C/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@H](NC(C)=O)[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)[C@@H](CO)O1)/C)/C)/C)/C)/C)/C)/C)/C)/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O.C1C=C2C(O)=CNC2=CC=1	R06048	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.C1(OC2=CNC3=CC=CC=C23)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C1C[C@@H](C[C@@H](O)C=1C)C(=C)C	R06117	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.[C@@H]1(CC=C(C)C(=O)C1)C(C)=C
O(C/C=C(\C)/CC/C=C(\C)/C)P(=O)(O)OP(=O)(O)O	R06120	P(=O)(O)(O)OP(=O)(O)O.C1C[C@H](CC=C1C)C(C)=C
