OP(=O)(O)OP(=O)(O)O.O	R00004	OP(=O)(O)O
O.C(CCNCCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@@H](C(=O)O)N)CN	R01918	C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N.C(CCNCCCN)CN
C(CCN)CN.C(CCNCCCN)CN	R01919	C(CCNCCCCN)CN.C(CN)CN
C[S+](CCCN)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C(CCN)CN	R01920	CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C(CCNCCCN)CN
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C[N+](C)(C)C[C@H](CC(=O)[O-])O	R01921	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C[N+](C)(C)CC(=O)CC(=O)O
O.C[N+](C)(C)C[C@@H](CC(=O)N)O	R01922	[H+].N.C[N+](C)(C)C[C@@H](CC(=O)[O-])O
CCCCCCCCCCCCCCCC(=O)[O-].C[N+](C)(C)C[C@@H](CC(=O)[O-])O	R01923	[OH-].CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O	R01926	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)(O)O)N)O
C1=CN(C2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O	R01928	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO[C@H]1[C@@H]([C@H]([C@H]([C@@H](CO)O1)O)O)O)N)O
C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](N2C=CC(=NC2=O)N)O1)O)O.CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O	R01929	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O2)O)O)C(=O)N=C1N.CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)(O)OCC[N+](C)(C)C)N)O
O.O=S(=O)([O-])SS(=O)(=O)[O-]	R01930	OS(=O)(=O)O.OS(=O)(=O)[S-]
OS(=O)(=O)[S-].[C-]#N	R01931	OS(=O)O.C(#N)S
[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(CC(=O)C(=O)O)CC(=O)O	R01932	C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(CC(C(=O)O)O)CC(=O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(CC(=O)O)[C@@H]([C@H](C(=O)O)O)C(=O)O	R01934	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(=O)=O.C(CC(=O)C(=O)O)CC(=O)O
C(CC(=O)O)C(C(=O)C(=O)O)C(=O)O	R01936	C(=O)=O.C(CC(=O)C(=O)O)CC(=O)O
N.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(CC(=O)C(=O)O)CC(=O)O	R01937	O.[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(=C/C(=O)O)/C=C(\C(=O)O)/N
N.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(CC(=O)C(=O)O)CC(=O)O	R01938	O.[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(=C/C(=O)O)/C=C(\C(=O)O)/N
C(CC(=O)O)C(=O)C(=O)O.C(C[C@@H](C(=O)O)N)CC(=O)O	R01939	C(CC(=O)O)[C@@H](C(=O)O)N.C(CC(=O)C(=O)O)CC(=O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.[OH-].C(=C\C1=CC=C(C(=C1)O)O)/C=O	R01941	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1=C(/C=C/C(=O)[O-])C=C(C(=C1)O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C1=C(/C=C/C(=O)[O-])C=C(C(=C1)O)O	R01942	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.COC1=CC(=CC=C1O)/C=C/C(=O)[O-]
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.[OH-].C1=C(/C=C/C(=O)O)C=C(C(=C1)O)O	R01943	OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.C1=C(/C=C/C(=O)[O-])C=C(C(=C1)O)O
C(CCN)CN.C1=C(/C=C/C(=O)[O-])C=C(C(=C1)O)O	R01944	[OH-].C(CCNC(=O)/C=C/C1=CC=C(C(=C1)O)O)CN
C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)O)O)O.C1=C(/C=C/C(=O)[O-])C=C(C(=C1)O)O	R01945	[OH-].C1=C(/C=C/C(=O)O[C@@H]2C[C@@](C[C@H]([C@H]2O)O)(C(=O)O)O)C=C(C(=C1)O)O
C(C(C(C(=O)O)O)C(=O)O)C(=O)O.C1=C(/C=C/C(=O)[O-])C=C(C(=C1)O)O	R01946	[OH-].C1=C(/C=C/C(=O)OC(C(CC(=O)O)C(=O)O)C(=O)O)C=C(C(=C1)O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OP(=O)(O)O)O)O)O	R01951	OP(=O)(O)OP(=O)(O)O.C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=NC4=C3N=C(N)NC4=O)O2)O)O)O)O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@@H](C(=O)O)N)C(=O)O.C(C[C@@H](C(=O)O)N)CNC(=O)N	R01954	OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.C(C[C@@H](C(=O)O)N)CNC(=N)N[C@@H](CC(=O)O)C(=O)O
C(CC(=O)O)C(=O)C(=O)O.C1=CC(=C(C=C1)N)C(=O)C[C@@H](C(=O)O)N	R01956	C(CC(=O)O)[C@@H](C(=O)O)N.C1=CC(=C(C=C1)N)C(=O)CC(=O)C(=O)O
C(=O)C(=O)O.C1=CC(=C(C=C1)N)C(=O)C[C@@H](C(=O)O)N	R01957	C(C(=O)O)N.C1=CC(=C(C=C1)N)C(=O)CC(=O)C(=O)O
O.C1=CC(=C(C=C1)NC=O)C(=O)C[C@@H](C(=O)O)N	R01959	C(=O)O.C1=CC(=C(C=C1)N)C(=O)C[C@@H](C(=O)O)N
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1=CC(=C(C=C1)N)C(=O)C[C@@H](C(=O)O)N	R01960	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1=CC(=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)N)O)O)O	R01961	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)N)O)O)OP(=O)(O)O
O.O=O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)N)O)O)O	R01962	OO.C([C@H]([C@H]([C@@H]([C@H](C(=O)O)N)O)O)O)O
O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)NS(=O)(=O)O)O)O)O	R01963	OS(=O)(=O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)N)O)O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CNC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)N)O)O)O	R01964	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CNC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)N)O)O)OP(=O)(O)O
C1[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1N2C=NC3=C2N=CN=C3N)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)N)O)O)O	R01965	C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)N)O)O)OP(=O)(O)O.C1[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O[C@H]1N2C=NC3=C2N=CN=C3N)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C1[C@@H]([C@@H](CO)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O	R01967	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C1[C@@H]([C@@H](COP(=O)(O)O)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O
O.C1[C@@H]([C@@H](COP(=O)(O)O)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O	R01968	OP(=O)(O)O.C1[C@@H]([C@@H](CO)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O
OP(=O)(O)O.C1[C@@H]([C@@H](CO)O[C@H]1N2C=NC3=C2N=C(N)NC3=O)O	R01969	C1=NC2=C(N1)N=C(N)NC2=O.C1[C@@H]([C@@H](CO)O[C@@H]1OP(=O)(O)O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C1=CC2=C(C=C1)NC=C2CC(=O)C(=O)O	R01972	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.C[C@H](C1=CNC2=C1C=CC=C2)C(=O)C(=O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C1=CC2=C(C=C1)NC=C2CC(=O)C(=O)O	R01973	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.CC(C1=CNC2=C1C=CC=C2)C(=O)C(=O)O
C1=CC2=C(C=C1)NC=C2CC(=O)C(=O)O	R01974	C(=O)=O.C1=CC2=C(C=C1)NC=C2CC=O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C[C@@H](CC(=O)[O-])O	R01975	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.CC(=O)CC(=O)[O-]
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@@H](CC(=O)[O-])O	R01976	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CC(=O)CC(=O)[O-]
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@H](CC(=O)[O-])O	R01977	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CC(=O)CC(=O)[O-]
[OH-].C[C@](CC(=O)O)(CC(=O)[O-])O	R01978	O.CC(=O)[O-].CC(=O)CC(=O)[O-]
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.[C@@H]1([C@H]([C@@H](C(=O)O)OC([C@@H]1O)O)O)O	R01980	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.[C@@H]1([C@H]([C@@H](C(=O)O)O[C@@H]([C@@H]1O)OP(=O)(O)O)O)O
[C@@H]1([C@H]([C@@H](C(=O)O)OC([C@@H]1O)O)O)O	R01983	C(C1([C@H]([C@H]([C@@H](C(=O)O)O1)O)O)O)O
O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(CC=O)CN	R01986	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(CC(=O)O)CN
CC(=O)O.C(CC(=O)O)CN	R01987	O.CC(=O)NCCCC(=O)O
C(CC(=O)O)CN.C(C[C@@H](C(=O)O)N)CNC(=N)N	R01989	C(C[C@@H](C(=O)O)N)CN.C(CC(=O)O)CNC(=N)N
O.C(CC(=O)O)CNC(=N)N	R01990	C(CC(=O)O)CN.C(=O)(N)N
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C(CC(=O)O)CN.C(C1=CNC=N1)[C@@H](C(=O)O)N	R01991	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C(CC(=O)N[C@@H](CC1=CNC=N1)C(=O)O)CN
O.C(CC(=O)N[C@@H](CC1=CNC=N1)C(=O)O)CN	R01992	C(CC(=O)O)CN.C(C1=CNC=N1)[C@@H](C(=O)O)N
O.C1[C@@H](C(=O)O)NC(=O)NC1=O	R01993	C([C@@H](C(=O)O)NC(=O)N)C(=O)O
C=C(C)CCOP(=O)(O)OP(=O)(O)O.C/C(=C\CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C	R02003	OP(=O)(O)OP(=O)(O)O.C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C
O.C/C(=C\CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C	R02004	OP(=O)(O)OP(=O)(O)O.CC1(C)[C@@H]2CC[C@@](C)(C2)[C@@H]1O
O.C/C(=C\CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C	R02006	OP(=O)(O)OP(=O)(O)O.CC(C)[C@@]12CC[C@](C)([C@H]2C1)O
CC1(C)C2CCC1(C)[C@H](C2)OP(=O)(O)OP(=O)(O)O	R02007	C/C(=C\CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C
C/C(=C\CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C	R02009	OP(=O)(O)OP(=O)(O)O.C=CC(=C)CC/C=C(/C)\C
C/C(=C\CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C	R02010	OP(=O)(O)OP(=O)(O)O.C/C(=C\1/CC=C(C)CC1)/C
C/C(=C\CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C	R02011	OP(=O)(O)OP(=O)(O)O.C=C1C2CCC(C2)C1(C)C
C/C(=C\CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C	R02013	OP(=O)(O)OP(=O)(O)O.C=C(C)[C@@H]1CC=C(C)CC1
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O	R02032	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C([C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)OP(=O)(O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O	R02034	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C([C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)OP(=O)(O)O
O.C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)OP(=O)(O)O	R02035	C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O
C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O	R02036	O.C([C@@H]([C@@H](COP(=O)(O)O)O)O)C(=O)C(=O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C(COP(=O)(O)O)N	R02037	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.CNCCOP(=O)(O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)N=C1N.C(COP(=O)(O)O)N	R02038	OP(=O)(O)OP(=O)(O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCCN)O2)O)O)C(=O)N=C1N
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.CC(CO)C(=O)O	R02047	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.CC(C=O)C(=O)O
CC(=O)C(=O)O.C[C@H](CN)C(=O)O	R02050	C[C@@H](C(=O)O)N.CC(C=O)C(=O)O
CC(=O)[O-].C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)N)O)O)OP(=O)(O)O	R02058	[OH-].CC(=O)N[C@@H]1[C@H]([C@@H]([C@@H](COP(=O)(O)O)OC1O)O)O
O.CC(=O)N[C@@H]1[C@H]([C@@H]([C@@H](COP(=O)(O)O)OC1O)O)O	R02059	CC(=O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)N)O)O)OP(=O)(O)O
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)N)O)O)O	R02060	C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)N)O)O)OP(=O)(O)O
C=C(C)CCOP(=O)(O)OP(=O)(O)O.C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R02061	OP(=O)(O)OP(=O)(O)O.C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C)/C
C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C)/C	R02064	OP(=O)(O)OP(=O)(O)O.CC1=CCCC(=CC2C(CCC(=CCC1)C)C2(C)C)C
C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C)/C	R02068	C/C(=C\COP(=O)(O)OP(=O)(O)O)/CC[C@@H]1C(=C)CC[C@@H]2C(C)(C)CCC[C@@]12C
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H](C(COP(=O)(O)O)(O)O1)O)O)O	R02071	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@](COP(=O)(O)O)(O)O1)O)O)OP(=O)(O)O
OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@](CO)(O)O1)O)O)OP(=O)(O)O	R02073	OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@](COP(=O)(O)O)(O)O1)O)O)OP(=O)(O)O
O=O.C1=C(C[C@@H](C(=O)O)N)C=C(C(=C1)O)O	R02075	C(=C(\C[C@@H](C(=O)O)N)/C=C(\C(=O)O)/O)/C=O
O=O.C1=C(C[C@@H](C(=O)O)N)C=C(C(=C1)O)O	R02076	C(=C(\C[C@@H](C(=O)O)N)/C=O)/C=C(\C(=O)O)/O
C(CC(=O)O)C(=O)C(=O)O.C1=C(C[C@@H](C(=O)O)N)C=C(C(=C1)O)O	R02077	C(CC(=O)O)[C@@H](C(=O)O)N.C1=C(C=C(C(=C1)O)O)CC(=O)C(=O)O
C1=C(C[C@@H](C(=O)O)N)C=C(C(=C1)O)O	R02080	C(=O)=O.C1=C(CCN)C=C(C(=C1)O)O
O.C[C@](CC(=O)O)(CC(=O)[O-])O	R02083	[OH-].CC(CC(=O)O)(CC(=O)O)O
C(CC(=O)[O-])C(=O)O.CC(CC(=O)O)(CC(=O)O)O	R02084	C(CC(=O)O)C(=O)O.C[C@](CC(=O)O)(CC(=O)[O-])O
C[C@](CC(=O)O)(CC(=O)[O-])O	R02085	O.C/C(=C\C(=O)[O-])/CC(=O)O
CC(=O)N[C@@H]1[C@H]([C@@H]([C@@H](COP(=O)(O)O)OC1O)O)O	R02087	CC(=O)N[C@H]1[C@H]([C@@H]([C@@H](COP(=O)(O)O)OC1O)O)O
O.C1[C@@H]([C@@H](COP(=O)(O)O)O[C@H]1N2C=NC3=C2N=CN=C3N)O	R02088	OP(=O)(O)O.C1[C@@H]([C@@H](CO)O[C@H]1N2C=NC3=C2N=CN=C3N)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C1[C@@H]([C@@H](CO)O[C@H]1N2C=NC3=C2N=CN=C3N)O	R02089	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C1[C@@H]([C@@H](COP(=O)(O)O)O[C@H]1N2C=NC3=C2N=CN=C3N)O
